dataset,n_points,first_step,last_step,reward_total_first,reward_total_last,reward_total_min,reward_total_max,reward_total_mean,reward_total_median,reward_total_pos_frac,reward_raw_last,reward_raw_mean,reward_task_last,reward_task_mean,pass_rate_last,pass_rate_mean,truncated_fraction_last,truncated_fraction_mean,sample_count_last,sample_count_mean,trainable_count_last,trainable_count_mean,response_length_mean,entropy_mean,kl_mean
mixed-all,222,0,232,-0.1085203242481203,0.1957446808510638,-0.9704334542410714,0.997037037037037,-0.08475170861868536,-0.0762656512987398,0.38738738738738737,0.4936170212765957,0.1847958988858998,0.1957446808510638,-0.06300184365524915,0.4936170212765957,0.1847958988858998,0.1111111111111111,0.13353034979526196,180.0,174.6846846846847,141.0,142.76576576576576,988.3187670150652,,
agent_safetybench,133,0,231,-0.994,0.99,-1.0,0.9971875,0.035746744965607,0.0747058823529412,0.5263157894736842,0.99,0.036502612617814026,0.99,0.036502612617814026,0.99,0.036502612617814026,0.0,0.004892037786774629,8.0,23.451127819548873,8.0,23.451127819548873,716.7618239522692,,
agentharm,140,0,232,0.11416666666666668,0.8454545454545456,-1.0,1.0,0.23115586320493853,0.5283333333333333,0.65,0.8454545454545456,0.2318882007327703,0.8454545454545456,0.2318882007327703,0.8454545454545456,0.2318882007327703,0.0,0.043100084142256634,22.0,32.628571428571426,22.0,32.628571428571426,985.1561325005422,,
seta,233,0,232,-0.07819217096560846,-0.31250000000000006,-1.5126389723557692,1.0,-0.3041455879842105,-0.2503574916294643,0.15879828326180256,0.34375,0.33963513353131175,-0.31250000000000006,-0.258786222284235,0.34375,0.33963513353131175,0.1941747572815534,0.08416006386892078,103.0,92.77682403433477,64.0,59.82403433476395,1064.2824251524069,,
tau2,121,0,232,-0.00042433965773809525,0.5272727272727272,-0.00734375,1.0,0.04641561132538526,0.0,0.12396694214876033,0.5272727272727272,0.04654947535952902,0.5272727272727272,0.04654947535952902,0.5272727272727272,0.04654947535952902,0.0,0.2764890723914529,55.0,87.30578512396694,55.0,87.30578512396694,633.416819603698,,
